"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",0,"normal",17.5,15,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",1,"normal",27.5,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Seated Cable Row - Bar Wide Grip",,"usando a segunda maior barra daquela barra boa",2,"normal",37.5,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Dumbbell)",,"",0,"normal",16,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Dumbbell)",,"",1,"normal",18,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Dumbbell)",,"",2,"normal",18,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Dumbbell)",,"",3,"normal",18,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Cable)",,"",0,"normal",30,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Cable)",,"",1,"normal",30,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Bicep Curl (Cable)",,"",2,"normal",30,12,,,
"pull sinistro","14 Mar 2026, 18:15","14 Mar 2026, 19:13","murilao dormir // gym day num ?/? without lore lore lore","Back Extension (Weighted Hyperextension)",,"",0,"normal",5,12,,,
